Id,CO2 Emissions(g/km)
1,183.76
2,271.3
3,202.93
4,353.46
5,179.83
6,219.85
7,199.07
8,254.19
9,236.81
10,263.94
11,295.38
12,206.72
13,219.19
14,231.71
15,184.32
16,217.76
17,225.6
18,168.16
19,257.09
20,257.8
21,229.47
22,211.19
23,253.79
24,275.86
25,141.03
26,346.05
27,377.11
28,322.31
29,175.85
30,300.48
31,294.8
32,188.19
33,197.11
34,386.12
35,233.08
36,221.17
37,185.96
38,140.6
39,172.85
40,146.83
41,324.65
42,213.4
43,207.81
44,242.66
45,347.65
46,190.08
47,220.95
48,295.46
49,305.67
50,239.07
51,373.03
52,179.16
53,181.12
54,178.69
55,261.09
56,185.67
57,279.75
58,161.69
59,225.25
60,339.6
61,319.42
62,223.77
63,131.45
64,411.44
65,197.12
66,302.68
67,179.11
68,270.3
69,233.38
70,354.67
71,320.69
72,260.87
73,214.96
74,213.1
75,248.14
76,403.93
77,174.08
78,201.21
79,261.19
80,185.71
81,190.07
82,182.51
83,224.64
84,370.31
85,254.75
86,372.31
87,237.72
88,261.56
89,192.31
90,177.96
91,324.78
92,178.15
93,252.25
94,250.36
95,341.25
96,346.17
97,328.07
98,308.39
99,218.23
100,253.32
101,223.91
102,221.68
103,358.58
104,235.69
105,135.28
106,264.75
107,323.29
108,187.72
109,214.29
110,188.92
111,219.7
112,203.48
113,344.65
114,290.83
115,296.1
116,395.27
117,194.09
118,211.92
119,259.14
120,175.31
121,198.21
122,191.58
123,186.97
124,210.63
125,174.69
126,230.86
127,202.66
128,351.33
129,369.19
130,222.12
131,176.83
132,197.66
133,372.45
134,209.08
135,224.19
136,191.22
137,244.65
138,390.04
139,394.42
140,311.32
141,236.35
142,256.19
143,299.48
144,202.87
145,217.45
146,184.1
147,193.68
148,332.2
149,236.59
150,222.4
151,265.62
152,232.9
153,323.41
154,333.43
155,194.08
156,196.88
157,130.49
158,188.62
159,144.22
160,220.43
161,169.39
162,271.56
163,179.69
164,197.09
165,201.83
166,149.93
167,204.28
168,192.4
169,184.32
170,305.97
171,175.48
172,293.04
173,202.18
174,276.82
175,188.26
176,209.4
177,194.04
178,190.19
179,353.42
180,236.95
181,202.53
182,191.63
183,245.88
184,302.84
185,225.43
186,185.0
187,274.7
188,192.42
189,193.97
190,179.93
191,180.18
192,253.8
193,322.08
194,381.33
195,253.99
196,248.96
